4,2026-07-10,food,breakfast,30
5,2026-07-10,food,lunch,80
6,2026-07-10,food,dinner,40
7,2026-07-10,travel,bike,100
8,2026-07-10,education,college fee,5000
9,2026-07-10,house/room rent,room rent,7000
10,2026-07-10,house/room rent,maintenance,200
11,2026-07-10,health/medical,doctor visit,1000
12,2026-07-10,health/medical,insurance,750
13,2026-07-10,health/medical,medicine,250
14,2026-07-10,lifestyle,shopping,2000
15,2026-07-10,lifestyle,gym,500
16,2026-07-10,lifestyle,salon,100
17,2026-07-10,bills,electricity,300
18,2026-07-10,bills,internet,350
19,2026-07-10,bills,gas,1100
20,2026-07-10,social/other costs,gift,200
21,2026-07-10,social/other costs,festival,500
23,2026-07-21,travel,car,500
24,2026-07-24,social/other costs,donation,50
